pl_name,hostname,sy_dist,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_spectype,st_teff,st_mass,disc_year
"TOI-2406 b","TOI-2406",55.41900000,2.86000000,15.60000000,3.07668910000,449.00,"M4 V",3100.00,0.166000,2021
"HD 60532 b","HD 60532",25.97160000,13.80000000,336.89980000,201.90000000000,,"F6 IV",6245.00,1.500000,2008
"HD 60532 c","HD 60532",25.97160000,13.30000000,797.75330000,600.10000000000,,"F6 IV",6245.00,1.500000,2008
"TOI-1448 b","TOI-1448",73.33450000,2.74900000,19.50000000,8.11224500000,426.00,,3412.00,0.372000,2024
"TOI-4633 c","TOI-4633",95.20160000,3.20000000,123.00000000,271.94450000000,268.57,"G V",5800.00,1.100000,2024
"TOI-776 c","TOI-776",27.17010000,2.04700000,6.90000000,15.66532300000,420.00,"M1 V",3725.00,0.542000,2020
"TOI-6008 b","TOI-6008",23.10080000,1.03000000,4.00000000,0.85743470000,707.00,"M5.0",3075.00,0.230000,2024
"TOI-6086 b","TOI-6086",31.45660000,1.18000000,1.76000000,1.38887250000,634.00,"M3.0",3200.00,0.254000,2024
"HD 42618 b","HD 42618",24.33580000,3.89000000,14.40000000,149.61000000000,337.00,"G4 V",5727.00,1.015000,2016
"HD 141399 b","HD 141399",37.01690000,14.30000000,143.34133000,94.44000000000,,"K0",5600.00,1.070000,2014
"HD 141399 c","HD 141399",37.01690000,13.60000000,422.71390000,201.99000000000,,"K0",5600.00,1.070000,2014
"HD 141399 e","HD 141399",37.01690000,14.10000000,209.76780000,5000.00000000000,,"K0",5600.00,1.070000,2014
"HD 108236 e","HD 108236",64.59780000,3.08300000,9.71000000,19.59002500000,636.00,"G3 V",5660.00,0.869000,2020
"TOI-1233.01","HD 108236",64.59780000,2.53900000,6.98000000,14.17568500000,708.00,"G3 V",5660.00,0.869000,2021
"2MASS J01033563-5515561 AB b","2MASS J01033563-5515561 A",47.20000000,12.30000000,4131.79000000,,,"M5.5/M6",,0.190000,2013
"HD 11506 c","HD 11506",51.26100000,14.00000000,127.13136280,223.92000000000,,"G0 V",6123.00,1.220000,2008
"HIP 74890 b","HIP 74890",78.65620000,13.30000000,762.79200000,822.30000000000,,"K1 III",4850.00,1.740000,2016
